Country,Operator,License-Block,Asset,Start-up Year,Contract Expiry Date,Commerciality,[Data Values],Sum
Philippines,Relinquished,"SC 56, PH","Babendil, PH",2045,2020-09-01,Commercial,Discovered Resources,
Philippines,Relinquished,"SC 56, PH","Babendil, PH",2045,2020-09-01,Commercial,Production,
Philippines,Relinquished,"SC 56, PH","Babendil, PH",2045,2020-09-01,Uncertain,Original Gas In Place,0.3179651
Philippines,Relinquished,"SC 56, PH","Babendil, PH",2045,2020-09-01,Uncertain,Field recovery factor,50
Philippines,Relinquished,"SC 56, PH","Babendil, PH",2045,2020-09-01,Uncertain,Technical recoverable resources,
Philippines,Relinquished,"SC 56, PH","Babendil, PH",2045,2020-09-01,Uncertain,2P Reserves,
Philippines,Relinquished,"SC 56, PH","Babendil, PH",2045,2020-09-01,Uncertain,Discovered Resources,
Philippines,Relinquished,"SC 56, PH","Babendil, PH",2045,2020-09-01,Uncertain,Production,
Philippines,Relinquished,"SC 56, PH","Palendag, PH",2045,2020-09-01,Commercial,Original Gas In Place,6.074546
Philippines,Relinquished,"SC 56, PH","Palendag, PH",2045,2020-09-01,Commercial,Field recovery factor,48
Philippines,Relinquished,"SC 56, PH","Palendag, PH",2045,2020-09-01,Commercial,Technical recoverable resources,
Philippines,Relinquished,"SC 56, PH","Palendag, PH",2045,2020-09-01,Commercial,2P Reserves,
Philippines,Relinquished,"SC 56, PH","Palendag, PH",2045,2020-09-01,Commercial,Discovered Resources,
Philippines,Relinquished,"SC 56, PH","Palendag, PH",2045,2020-09-01,Commercial,Production,
Philippines,Relinquished,"SC 56, PH","Palendag, PH",2045,2020-09-01,Uncertain,Original Gas In Place,6.074546
Philippines,Relinquished,"SC 56, PH","Palendag, PH",2045,2020-09-01,Uncertain,Field recovery factor,48
Philippines,Relinquished,"SC 56, PH","Palendag, PH",2045,2020-09-01,Uncertain,Technical recoverable resources,
Philippines,Relinquished,"SC 56, PH","Palendag, PH",2045,2020-09-01,Uncertain,2P Reserves,
Philippines,Relinquished,"SC 56, PH","Palendag, PH",2045,2020-09-01,Uncertain,Discovered Resources,
Philippines,Relinquished,"SC 56, PH","Palendag, PH",2045,2020-09-01,Uncertain,Production,
Philippines,Relinquished,"SC 49, PH","Polyard (Alegria), PH",2018,2023-09-15,Commercial,Original Gas In Place,0
Philippines,Relinquished,"SC 49, PH","Polyard (Alegria), PH",2018,2023-09-15,Commercial,Field recovery factor,25
Philippines,Relinquished,"SC 49, PH","Polyard (Alegria), PH",2018,2023-09-15,Commercial,Technical recoverable resources,0.0391
Philippines,Relinquished,"SC 49, PH","Polyard (Alegria), PH",2018,2023-09-15,Commercial,2P Reserves,0.0391
Philippines,Relinquished,"SC 49, PH","Polyard (Alegria), PH",2018,2023-09-15,Commercial,Discovered Resources,
Philippines,Relinquished,"SC 49, PH","Polyard (Alegria), PH",2018,2023-09-15,Commercial,Production,0.002465753
Philippines,Relinquished,"SC 49, PH","Polyard (Alegria), PH",2018,2023-09-15,Uncertain,Original Gas In Place,0
Philippines,Relinquished,"SC 49, PH","Polyard (Alegria), PH",2018,2023-09-15,Uncertain,Field recovery factor,25
Philippines,Relinquished,"SC 49, PH","Polyard (Alegria), PH",2018,2023-09-15,Uncertain,Technical recoverable resources,0.0427
Philippines,Relinquished,"SC 49, PH","Polyard (Alegria), PH",2018,2023-09-15,Uncertain,2P Reserves,
Philippines,Relinquished,"SC 49, PH","Polyard (Alegria), PH",2018,2023-09-15,Uncertain,Discovered Resources,
Philippines,Relinquished,"SC 49, PH","Polyard (Alegria), PH",2018,2023-09-15,Uncertain,Production,
Philippines,Relinquished,"SC 49, PH","Polyard (2,6), PH",2036,2023-09-15,Commercial,Original Gas In Place,0.5723286
Philippines,Relinquished,"SC 49, PH","Polyard (2,6), PH",2036,2023-09-15,Commercial,Field recovery factor,50
Philippines,Relinquished,"SC 49, PH","Polyard (2,6), PH",2036,2023-09-15,Commercial,Technical recoverable resources,
Philippines,Relinquished,"SC 49, PH","Polyard (2,6), PH",2036,2023-09-15,Commercial,2P Reserves,
Philippines,Relinquished,"SC 49, PH","Polyard (2,6), PH",2036,2023-09-15,Commercial,Discovered Resources,
Philippines,Relinquished,"SC 49, PH","Polyard (2,6), PH",2036,2023-09-15,Commercial,Production,
Philippines,Relinquished,"SC 49, PH","Polyard (2,6), PH",2036,2023-09-15,Uncertain,Original Gas In Place,0.5723286
Philippines,Relinquished,"SC 49, PH","Polyard (2,6), PH",2036,2023-09-15,Uncertain,Field recovery factor,50
Philippines,Relinquished,"SC 49, PH","Polyard (2,6), PH",2036,2023-09-15,Uncertain,Technical recoverable resources,
Philippines,Relinquished,"SC 49, PH","Polyard (2,6), PH",2036,2023-09-15,Uncertain,2P Reserves,
Philippines,Relinquished,"SC 49, PH","Polyard (2,6), PH",2036,2023-09-15,Uncertain,Discovered Resources,
Philippines,Relinquished,"SC 49, PH","Polyard (2,6), PH",2036,2023-09-15,Uncertain,Production,
Philippines,Blue Sky Resources,"SC 6B Cadlao, PH","Cadlao, PH",1981,2024-02-28,Commercial,Original Gas In Place,0
Philippines,Blue Sky Resources,"SC 6B Cadlao, PH","Cadlao, PH",1981,2024-02-28,Commercial,Field recovery factor,20
Philippines,Blue Sky Resources,"SC 6B Cadlao, PH","Cadlao, PH",1981,2024-02-28,Commercial,Technical recoverable resources,
Philippines,Blue Sky Resources,"SC 6B Cadlao, PH","Cadlao, PH",1981,2024-02-28,Commercial,2P Reserves,
Philippines,Blue Sky Resources,"SC 6B Cadlao, PH","Cadlao, PH",1981,2024-02-28,Commercial,Discovered Resources,
Philippines,Blue Sky Resources,"SC 6B Cadlao, PH","Cadlao, PH",1981,2024-02-28,Commercial,Production,
Philippines,Blue Sky Resources,"SC 6B Cadlao, PH","Cadlao, PH",1981,2024-02-28,Uncertain,Original Gas In Place,0
Philippines,Blue Sky Resources,"SC 6B Cadlao, PH","Cadlao, PH",1981,2024-02-28,Uncertain,Field recovery factor,20
Philippines,Blue Sky Resources,"SC 6B Cadlao, PH","Cadlao, PH",1981,2024-02-28,Uncertain,Technical recoverable resources,
Philippines,Blue Sky Resources,"SC 6B Cadlao, PH","Cadlao, PH",1981,2024-02-28,Uncertain,2P Reserves,
Philippines,Blue Sky Resources,"SC 6B Cadlao, PH","Cadlao, PH",1981,2024-02-28,Uncertain,Discovered Resources,
Philippines,Blue Sky Resources,"SC 6B Cadlao, PH","Cadlao, PH",1981,2024-02-28,Uncertain,Production,
Philippines,Blue Sky Resources,"SC 54A, PH","Nido 1X1, PH",2047,2022-08-04,Commercial,Original Gas In Place,0.1589821
Philippines,Blue Sky Resources,"SC 54A, PH","Nido 1X1, PH",2047,2022-08-04,Commercial,Field recovery factor,29
Philippines,Blue Sky Resources,"SC 54A, PH","Nido 1X1, PH",2047,2022-08-04,Commercial,Technical recoverable resources,
Philippines,Blue Sky Resources,"SC 54A, PH","Nido 1X1, PH",2047,2022-08-04,Commercial,2P Reserves,
Philippines,Blue Sky Resources,"SC 54A, PH","Nido 1X1, PH",2047,2022-08-04,Commercial,Discovered Resources,
Philippines,Blue Sky Resources,"SC 54A, PH","Nido 1X1, PH",2047,2022-08-04,Commercial,Production,
Philippines,Blue Sky Resources,"SC 54A, PH","Nido 1X1, PH",2047,2022-08-04,Uncertain,Original Gas In Place,0.1589821
Philippines,Blue Sky Resources,"SC 54A, PH","Nido 1X1, PH",2047,2022-08-04,Uncertain,Field recovery factor,29
Philippines,Blue Sky Resources,"SC 54A, PH","Nido 1X1, PH",2047,2022-08-04,Uncertain,Technical recoverable resources,
Philippines,Blue Sky Resources,"SC 54A, PH","Nido 1X1, PH",2047,2022-08-04,Uncertain,2P Reserves,
Philippines,Blue Sky Resources,"SC 54A, PH","Nido 1X1, PH",2047,2022-08-04,Uncertain,Discovered Resources,
Philippines,Blue Sky Resources,"SC 54A, PH","Nido 1X1, PH",2047,2022-08-04,Uncertain,Production,
